epoch,accuracy,loss,val_accuracy,val_loss
0,0.3647938072681427,1.3330469131469727,0.4639769494533539,1.2902954816818237
1,0.6460005640983582,0.9987384080886841,0.6657060384750366,0.9118715524673462
2,0.7899252772331238,0.5855675935745239,0.7002881765365601,0.7754219174385071
3,0.8372543454170227,0.42701947689056396,0.7060518860816956,0.8041741251945496
4,0.8771104216575623,0.3413914144039154,0.6945244669914246,0.8076575398445129
5,0.9050650596618652,0.27898460626602173,0.680115282535553,0.8436048626899719
6,0.9205646514892578,0.23078183829784393,0.6743515729904175,0.8990735411643982
7,0.9374480843544006,0.19887632131576538,0.7089337110519409,0.9287077784538269
8,0.9490727782249451,0.16725119948387146,0.6887608170509338,0.9996028542518616
9,0.9573761224746704,0.15046128630638123,0.6974063515663147,1.0281274318695068
10,0.9604207277297974,0.12892797589302063,0.6829971075057983,1.07558274269104
11,0.9665098190307617,0.11764967441558838,0.6829971075057983,1.1739048957824707
12,0.9667866230010986,0.1086268275976181,0.6685879230499268,1.1932735443115234
13,0.971491813659668,0.09736402332782745,0.6772334575653076,1.1819162368774414
14,0.9725989699363708,0.08969235420227051,0.6858789920806885,1.2467687129974365
15,0.975089967250824,0.08251301199197769,0.6887608170509338,1.2995163202285767
16,0.9739828109741211,0.08461903035640717,0.7002881765365601,1.2751082181930542
17,0.976473867893219,0.07511967420578003,0.680115282535553,1.3611128330230713
18,0.9761970639228821,0.07532902806997299,0.6772334575653076,1.4135311841964722
19,0.9778577089309692,0.07017113268375397,0.6945244669914246,1.3930168151855469
20,0.974259614944458,0.06987576186656952,0.6945244669914246,1.4365849494934082
21,0.9775809645652771,0.06602265685796738,0.6887608170509338,1.4611780643463135
22,0.9789648652076721,0.06157675385475159,0.6945244669914246,1.4258179664611816
23,0.9778577089309692,0.060534149408340454,0.6887608170509338,1.492417573928833
24,0.9773041605949402,0.06184250861406326,0.6945244669914246,1.4910930395126343
